date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:12	410/410	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ffcf30919ef42a4629d2852242eee362%22	https://picocss.com/build/entry.client-5KBG7MMV.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/entry.client-5KBG7MMV.js	(from https://picocss.com/docs)
15:49:12	258358/258358	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a6ec88401ae8d61c8b321e1ab8e3b965%22	https://picocss.com/build/_shared/chunk-YTHO3L5P.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-YTHO3L5P.js	(from https://picocss.com/docs)
15:49:12	616/616	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d438f2dadbd12e263b165d6fcd60babb%22	https://picocss.com/build/_shared/chunk-4VZFADYZ.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-4VZFADYZ.js	(from https://picocss.com/docs)
15:49:12	4083/4083	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e7e4c46a82279c0716003058c74fbc1%22	https://picocss.com/build/_shared/chunk-BRGOUUZ4.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-BRGOUUZ4.js	(from https://picocss.com/docs)
15:49:13	421/421	---MCZ	200	added ('OK')	application/javascript	etag:W/%2296fa2acd4b92836ba9206cd68434050f%22	https://picocss.com/build/_shared/chunk-SNWS3XCL.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-SNWS3XCL.js	(from https://picocss.com/docs)
15:49:13	4869/4869	---MCZ	200	added ('OK')	application/javascript	etag:W/%2208ec7440ba0c48394418918617cdf037%22	https://picocss.com/build/_shared/chunk-ZH53E5PC.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-ZH53E5PC.js	(from https://picocss.com/docs)
15:49:13	1385/1385	---MCZ	200	added ('OK')	application/javascript	etag:W/%2257814b78bdccd1c9b59682cd23b456f8%22	https://picocss.com/build/_shared/chunk-5KSWBPSR.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-5KSWBPSR.js	(from https://picocss.com/docs)
15:49:13	1125/1125	---MCZ	200	added ('OK')	application/javascript	etag:W/%2291a1f08ffa663dabddeb691ba443893a%22	https://picocss.com/build/_shared/chunk-HOKVWY7K.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-HOKVWY7K.js	(from https://picocss.com/docs)
15:49:14	3067/3067	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f055cfe2f25cc9f5ae5e643d07b234a%22	https://picocss.com/build/_shared/chunk-I3WNH4BN.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-I3WNH4BN.js	(from https://picocss.com/docs)
15:49:14	932/932	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273c9042bd9f6e56dce8d9a548b90b2ab%22	https://picocss.com/build/_shared/chunk-L5VKHY6F.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-L5VKHY6F.js	(from https://picocss.com/docs)
